FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM+Dyn GoldSetMethodID Rank - All Ranks	VSM+Dyn GoldSetMethodID Rank - Best Rank
 	4281	org.gjt.sp.jedit.PluginJAR.transitiveClosure(String[],List<String>)		
 	4282	org.gjt.sp.jedit.PluginJAR.getDependentPlugins()		
 	4285	org.gjt.sp.jedit.PluginJAR.activatePluginIfNecessary()	1	
 	4293	org.gjt.sp.jedit.PluginJAR.init()	43	
 	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)		
 	1694	org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler.actionPerformed(ActionEvent)		
 	-1	org.gjt.sp.jedit.gui.FloatingWindowContainer.register(DockableWindowManager.Entry)		
 	2707	org.gjt.sp.jedit.jEdit.getPlugin(String,boolean)	5	
 	2711	org.gjt.sp.jedit.jEdit.addPluginJAR(String)	15	
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	95	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.toggleCurrentRow()		
 	3344	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.setValueAt(Object,int,int)	82	
 	3348	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJARWithDialog(PluginJAR)		
 	3349	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJAR(PluginJAR)		
 	3368	org.gjt.sp.jedit.pluginmgr.ManagePanel.HelpButton.valueChanged(ListSelectionEvent)	93	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyTyped(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyPressed(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyReleased(KeyEvent)		
 	4352	org.gjt.sp.jedit.pluginmgr.PluginManager.showPluginManager(Frame)	26	
 	4356	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager(Frame)	17	
 	-1	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager()		
 	4357	org.gjt.sp.jedit.pluginmgr.PluginManager.init()	21	
 	4679	org.gjt.sp.jedit.pluginmgr.Roster.Remove.unloadPluginJAR(PluginJAR)		
1538743	5590	org.gjt.sp.jedit.options.ToolBarEditDialog.ToolBarEditDialog(Component,DefaultComboBoxModel,ToolBarOptionPane.Button)	17	3
 	5595	org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()	3	
1541009	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	40	10
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	67	
 	-1	org.gjt.sp.jedit.search.PatternSearchMatcher.isMatchingEOL()		
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)		
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	10	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	29	
 	-1	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,Buffer,SearchMatcher,int,int,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchAndReplace.replaceOne(View,Buffer,SearchMatcher.Match,int,String,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchMatcher.isMatchingEOL()		
1541372	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	17	17
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.getSelectedText(Selection)		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold()		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold(int)		
1542026	2825	org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)	442	442
1546200	4525	org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)	1	1
1548902	-1	org.gjt.sp.jedit.TextUtilities.join(Collection,String)		128
 	5500	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean)		
 	5506	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean)		
 	5509	org.gjt.sp.jedit.TextUtilities.getCharType(char,String)		
 	5510	org.gjt.sp.jedit.TextUtilities.spacesToTabs(String,int)		
